name,edition,condition,language,price_eur,quantity
Meteorito,Dominaria Unida,NM,Inglés,0.1,4
"Tatyova, sirviente de las mareas",Dominaria Unida,NM,Inglés,0.15,4
Profecía de la sombra,Dominaria Unida,NM,Inglés,0.1,4
Dobleinfierno,Dominaria Unida,NM,Inglés,0.15,4
Arrastrar a las profundidades,Dominaria Unida,NM,Inglés,0.2,4
Colonia de coral,Dominaria Unida,NM,Inglés,0.15,4
Coletazo,Dominaria Unida,NM,Inglés,0.15,4
Dentellada,Dominaria Unida,NM,Inglés,0.1,4
Enjambre de moscas de combate,Dominaria Unida,NM,Inglés,0.1,4
"Baird, reclutador argiviano",Dominaria Unida,NM,Inglés,0.15,4
"Balmor, capitán mago de guerra",Dominaria Unida,NM,Inglés,0.15,4
"Garna, puñosangriento de Keld",Dominaria Unida,NM,Inglés,0.15,4
"Rulik Mons, jefa del barracón",Dominaria Unida,NM,Inglés,0.15,4
El tratado de Semillaclima,Dominaria Unida,NM,Inglés,0.15,4
Reposesión de Urborg,Dominaria Unida,NM,Inglés,0.1,4
"Meria, erudita de la antigüedad",Dominaria Unida,NM,Inglés,0.2,4
Afanar,Dominaria Unida,NM,Inglés,0.2,4
"Sol'kanar, el Corrompido",Dominaria Unida,NM,Inglés,0.25,3
"Jhoira, innovadora atemporal",Dominaria Unida,NM,Inglés,0.2,4
Maestra sabia de la Academia,Dominaria Unida,NM,Inglés,0.2,4
Cantor de forja enano,La Guerra de los Hermanos,NM,Inglés,0.1,4
Forjar el Ancla,La Guerra de los Hermanos,NM,Inglés,0.15,4
Terrenos expansivos,La Guerra de los Hermanos,NM,Inglés,0.1,4
Mesa de investigación de Mishra,La Guerra de los Hermanos,NM,Inglés,0.15,4
Desmontar,La Guerra de los Hermanos,NM,Inglés,0.15,4
Secuelas de la calamidad,La Guerra de los Hermanos,NM,Inglés,0.15,4
Visiones de Pirexia,La Guerra de los Hermanos,NM,Inglés,0.2,4
Reutilizar,La Guerra de los Hermanos,NM,Inglés,0.35,4
Sabio del Tercer Camino,La Guerra de los Hermanos,NM,Inglés,0.1,4
Infiltrada de Gix,La Guerra de los Hermanos,NM,Inglés,0.15,4
Isla (V.4),La Guerra de los Hermanos,NM,Inglés,0.1,4
Montaña (V.1),La Guerra de los Hermanos,NM,Inglés,0.25,4
Montaña (V.4),La Guerra de los Hermanos,NM,Inglés,0.1,4
Reina Kayla bin-Kroog,La Guerra de los Hermanos,NM,Inglés,0.2,4
"Ashnod, mecánica de la carne",La Guerra de los Hermanos,NM,Inglés,0.2,4
Llanura (V.1),La Guerra de los Hermanos,NM,Inglés,0.25,4
Flujo de conocimiento,La Guerra de los Hermanos,NM,Inglés,0.15,4
Rayo dispersor,La Guerra de los Hermanos,NM,Inglés,0.1,4
"Tocasia, mentora de la excavación",La Guerra de los Hermanos,NM,Inglés,0.25,1
"Urza, prodigio de las piedras",La Guerra de los Hermanos,NM,Inglés,0.2,4
Fauceniza gigante,La Guerra de los Hermanos,NM,Inglés,0.15,4
Araña pescadora celeste,La Guerra de los Hermanos,NM,Inglés,0.15,4
Buscacero de Sarith,La Guerra de los Hermanos,NM,Inglés,0.15,4
Estatua flotante,La Guerra de los Hermanos,NM,Inglés,0.15,4
Corona del transmutado,La Guerra de los Hermanos,NM,Inglés,0.35,2
Consagradora gorgoteante,La Guerra de los Hermanos,NM,Inglés,0.15,4
Soldadura de emergencia,La Guerra de los Hermanos,NM,Inglés,0.1,4
Traxodemonio,La Guerra de los Hermanos,NM,Inglés,0.1,4
Aerocapellán,La Guerra de los Hermanos,NM,Inglés,0.1,4
"Tawnos, el Juguetero",La Guerra de los Hermanos,NM,Inglés,0.2,4
Serpiente filoespiral,La Guerra de los Hermanos,NM,Inglés,0.35,4
Máquinas sobre la materia,La Guerra de los Hermanos,NM,Inglés,0.15,4
Desencantar,La Guerra de los Hermanos,NM,Inglés,0.1,4
Subyugación de la Piedra de Debilidad,La Guerra de los Hermanos,NM,Inglés,0.15,4
Tocasia's Dig Site,La Guerra de los Hermanos,NM,Inglés,0.15,4
Armadura de maderapálida,La Guerra de los Hermanos,NM,Inglés,0.15,4
Traje de poder thran,La Guerra de los Hermanos,NM,Inglés,0.5,4
Fauceniza gigante,La Guerra de los Hermanos,NM,Inglés,0.2,4
"Urza, prodigio de las piedras",La Guerra de los Hermanos,NM,Inglés,0.15,4
"Mishra, excavador prodigioso",La Guerra de los Hermanos,NM,Inglés,0.15,4
Aunapedazos de Tomakul,La Guerra de los Hermanos,NM,Inglés,0.1,4
Tirano de la Cordillera Kher,La Guerra de los Hermanos,NM,Inglés,0.2,4
Pantano (V.2),La Guerra de los Hermanos,NM,Inglés,0.25,4
Tóptero reconstruido,La Guerra de los Hermanos,NM,Inglés,0.15,4
Tóptero avistador,La Guerra de los Hermanos,NM,Inglés,0.15,4
Surgir de las trincheras,La Guerra de los Hermanos,NM,Inglés,0.2,4
Simulacro simiesco,La Guerra de los Hermanos,NM,Inglés,0.2,4
Operario de la mina,La Guerra de los Hermanos,NM,Inglés,0.1,4
Llanura (V.2),La Guerra de los Hermanos,NM,Inglés,0.2,4
Isla (V.2),La Guerra de los Hermanos,NM,Inglés,0.25,4
Pantano (V.1),La Guerra de los Hermanos,NM,Inglés,0.35,4
Pantano (V.2),La Guerra de los Hermanos,NM,Inglés,0.2,4
Montaña (V.2),La Guerra de los Hermanos,NM,Inglés,0.2,4
Bosque (V.1),La Guerra de los Hermanos,NM,Inglés,0.2,4
Bosque (V.2),La Guerra de los Hermanos,NM,Inglés,0.25,4
Behemot perenne,La Guerra de los Hermanos,NM,Inglés,0.35,2
Baluarte costero,La Guerra de los Hermanos,NM,Inglés,0.1,4
Discípulos de Gix,La Guerra de los Hermanos,NM,Inglés,0.15,4
Evangelista de síntesis,La Guerra de los Hermanos,NM,Inglés,0.15,4
Conclusión macabra,La Guerra de los Hermanos,NM,Inglés,0.15,4
Remordimiento abrumador,La Guerra de los Hermanos,NM,Inglés,0.15,4
Matriz de la simetría,La Guerra de los Hermanos,NM,Inglés,0.15,4
Campeón de arcilla,La Guerra de los Hermanos,NM,Inglés,0.25,4
Mandato de Urza,La Guerra de los Hermanos,NM,Inglés,0.2,4
Megasierpe de Sarinth,La Guerra de los Hermanos,NM,Inglés,0.5,4
"Mishra, domador del mak fawa",La Guerra de los Hermanos,NM,Inglés,0.2,4
Unidad de recuperación de piedras,La Guerra de los Hermanos,NM,Inglés,0.1,4
Guardia de la cueva su-chi,La Guerra de los Hermanos,NM,Inglés,0.15,4
Máquinas sobre la materia,La Guerra de los Hermanos,NM,Inglés,0.1,4
Desencantar,La Guerra de los Hermanos,NM,Inglés,0.15,4
Unión del Tercer Camino,La Guerra de los Hermanos,NM,Inglés,0.1,4
Serpiente filoespiral,La Guerra de los Hermanos,NM,Inglés,0.5,1
Carrera armamentística,La Guerra de los Hermanos,NM,Inglés,0.15,4
Metamorfo corpulento,La Guerra de los Hermanos,NM,Inglés,0.15,4
Consagradora gorgoteante,La Guerra de los Hermanos,NM,Inglés,0.2,4
Mandato de Mishra,La Guerra de los Hermanos,NM,Inglés,0.2,4
El Ancla Temporal,La Guerra de los Hermanos,NM,Inglés,0.2,4
Vigilancia thran,La Guerra de los Hermanos,NM,Inglés,0.15,4
Terrenos expansivos,La Guerra de los Hermanos,NM,Inglés,0.15,4
Operario de la torre,La Guerra de los Hermanos,NM,Inglés,0.15,4
Draco formaligera,La Guerra de los Hermanos,NM,Inglés,0.15,4
Entrega de suministros,La Guerra de los Hermanos,NM,Inglés,0.15,4
Operario de la central de energía,La Guerra de los Hermanos,NM,Inglés,0.15,4
Unidad de recuperación de piedras,La Guerra de los Hermanos,NM,Inglés,0.15,4
Coloso oxidado,La Guerra de los Hermanos,NM,Inglés,0.15,4
Operario de la mina,La Guerra de los Hermanos,NM,Inglés,0.15,4
Bomba trasga,La Guerra de los Hermanos,NM,Inglés,0.15,4
Alas de aeronauta,La Guerra de los Hermanos,NM,Inglés,0.15,4
Guardia de honor de Tomakul,La Guerra de los Hermanos,NM,Inglés,0.15,4
Cosecha ineficiente,La Guerra de los Hermanos,NM,Inglés,0.15,4
Reclusa acaparadora,La Guerra de los Hermanos,NM,Inglés,0.15,4
Patrulla perimetral,La Guerra de los Hermanos,NM,Inglés,0.15,4
Creación de Tawnos,La Guerra de los Hermanos,NM,Inglés,0.15,4
Disparo abatidor,La Guerra de los Hermanos,NM,Inglés,0.15,4
Crecimiento gigante,La Guerra de los Hermanos,NM,Inglés,0.15,4
Portador torcerraíz,La Guerra de los Hermanos,NM,Inglés,0.15,4
Protector de Citanul,La Guerra de los Hermanos,NM,Inglés,0.15,4
Confrontación épica,La Guerra de los Hermanos,NM,Inglés,0.15,4
Duende argotiana,La Guerra de los Hermanos,NM,Inglés,0.15,4
Niebla de guerra,La Guerra de los Hermanos,NM,Inglés,0.15,4
Fauceafilada excavadora,La Guerra de los Hermanos,NM,Inglés,0.15,4
Destructor de Mishra,La Guerra de los Hermanos,NM,Inglés,0.15,4
Golpe en remolino,La Guerra de los Hermanos,NM,Inglés,0.15,4
Bombardeo desatado,La Guerra de los Hermanos,NM,Inglés,0.15,4
Autómata relámpago,La Guerra de los Hermanos,NM,Inglés,0.15,4
Oportunista argotiana,La Guerra de los Hermanos,NM,Inglés,0.15,4
Aunapedazos de Tomakul,La Guerra de los Hermanos,NM,Inglés,0.15,4
Rivalidad fraternal,La Guerra de los Hermanos,NM,Inglés,0.15,4
Toro fortachón de Penregon,La Guerra de los Hermanos,NM,Inglés,0.15,4
Arremetida de Mishra,La Guerra de los Hermanos,NM,Inglés,0.15,4
Dominio de Mishra,La Guerra de los Hermanos,NM,Inglés,0.15,4
Asolación total,La Guerra de los Hermanos,NM,Inglés,0.15,4
Cazadora de rocs,La Guerra de los Hermanos,NM,Inglés,0.15,4
Estallido en la excavación,La Guerra de los Hermanos,NM,Inglés,0.15,4
Danzacadenas fallaji,La Guerra de los Hermanos,NM,Inglés,0.15,4
Reclutas de infantería,La Guerra de los Hermanos,NM,Inglés,0.15,4
Iracundo chatarreño,La Guerra de los Hermanos,NM,Inglés,0.15,4
Garra excavadora,La Guerra de los Hermanos,NM,Inglés,0.15,4
Aparecido de arcilla,La Guerra de los Hermanos,NM,Inglés,0.15,4
Traxodemonio,La Guerra de los Hermanos,NM,Inglés,0.15,4
Asaltatrincheras,La Guerra de los Hermanos,NM,Inglés,0.15,4
Megatopo voraz,La Guerra de los Hermanos,NM,Inglés,0.15,4
Traxodemonio,La Guerra de los Hermanos,NM,Inglés,0.15,4
Fractura de la piedra de poder,La Guerra de los Hermanos,NM,Inglés,0.15,4
Instante de desafío,La Guerra de los Hermanos,NM,Inglés,0.15,4
Acróbata de la zona mortífera,La Guerra de los Hermanos,NM,Inglés,0.15,4
Desollacráneos de Gix,La Guerra de los Hermanos,NM,Inglés,0.15,4
Caricia de Gix,La Guerra de los Hermanos,NM,Inglés,0.15,4
Soldadura de emergencia,La Guerra de los Hermanos,NM,Inglés,0.15,4
Desfigurar,La Guerra de los Hermanos,NM,Inglés,0.15,4
Langosta carroñera,La Guerra de los Hermanos,NM,Inglés,0.15,4
Intervención de Ashnod,La Guerra de los Hermanos,NM,Inglés,0.15,4
Coloso cargaprofunda,La Guerra de los Hermanos,NM,Inglés,0.15,4
Mensajero de combate,La Guerra de los Hermanos,NM,Inglés,0.15,4
Baluarte costero,La Guerra de los Hermanos,NM,Inglés,0.15,4
Comando alado,La Guerra de los Hermanos,NM,Inglés,0.15,4
Rechazo de Urza,La Guerra de los Hermanos,NM,Inglés,0.15,4
Sabio del Tercer Camino,La Guerra de los Hermanos,NM,Inglés,0.15,4
Lección severa,La Guerra de los Hermanos,NM,Inglés,0.15,4
Rayo dispersor,La Guerra de los Hermanos,NM,Inglés,0.15,4
Agente de rescate,La Guerra de los Hermanos,NM,Inglés,0.15,4
Animación de la Piedra de Fortaleza,La Guerra de los Hermanos,NM,Inglés,0.15,4
Adepto de Lat-Nam,La Guerra de los Hermanos,NM,Inglés,0.15,4
Roc de Koilos,La Guerra de los Hermanos,NM,Inglés,0.15,4
Desincronizar,La Guerra de los Hermanos,NM,Inglés,0.15,4
Organizar,La Guerra de los Hermanos,NM,Inglés,0.15,4
Mariscal aéreo,La Guerra de los Hermanos,NM,Inglés,0.15,4
Espada de poder de la veterana,La Guerra de los Hermanos,NM,Inglés,0.15,4
Pebetero de Tocasia,La Guerra de los Hermanos,NM,Inglés,0.15,4
Secuaz chatarreño,La Guerra de los Hermanos,NM,Inglés,0.15,4
Médica yotiana,La Guerra de los Hermanos,NM,Inglés,0.15,4
Élite del señor guerrero,La Guerra de los Hermanos,NM,Inglés,0.15,4
Unión del Tercer Camino,La Guerra de los Hermanos,NM,Inglés,0.15,4
Superviviente de Korlis,La Guerra de los Hermanos,NM,Inglés,0.15,4
Pena de prisión,La Guerra de los Hermanos,NM,Inglés,0.15,4
Ingeniero de piedras de poder,La Guerra de los Hermanos,NM,Inglés,0.15,4
Vanguardia de la falange,La Guerra de los Hermanos,NM,Inglés,0.15,4
Disciplina militar,La Guerra de los Hermanos,NM,Inglés,0.15,4
Contragolpe mortal,La Guerra de los Hermanos,NM,Inglés,0.15,4
Precipitador de la emboscada,La Guerra de los Hermanos,NM,Inglés,0.15,4
Aerocapellán,La Guerra de los Hermanos,NM,Inglés,0.15,4
Caballería aeronauta,La Guerra de los Hermanos,NM,Inglés,0.15,4
Llanura (V.2),La Guerra de los Hermanos,NM,Inglés,0.35,4
