name,edition,condition,language,price_eur,quantity
Bendición de la furia de batalla,Dominaria Unida,NM,Inglés,0.2,8
Bosque (V.1),Dominaria Unida,NM,Inglés,0.12,8
Bosque (V.3),Dominaria Unida,NM,Inglés,0.12,8
"Radha, señora guerrera de la Coalición",Dominaria Unida,NM,Inglés,0.12,8
Trasgo germinante,Dominaria Unida,NM,Inglés,0.12,8
Trituracero de Yavimaya,Dominaria Unida,NM,Inglés,0.2,8
Litoral idílico,Dominaria Unida,NM,Inglés,0.24,8
Ciénaga geotérmica,Dominaria Unida,NM,Inglés,0.3,8
Arboleda radiante,Dominaria Unida,NM,Inglés,0.24,8
Marjal iluminado,Dominaria Unida,NM,Inglés,0.35,8
Cumbres sagradas,Dominaria Unida,NM,Inglés,0.22,8
"Lagomos, mano del odio",Dominaria Unida,NM,Inglés,0.2,8
Fundación del Tercer Camino,Dominaria Unida,NM,Inglés,1.45,8
Infantería electrostática,Dominaria Unida,NM,Inglés,0.24,8
"Aron, ruina de Benalia",Dominaria Unida,NM,Inglés,0.22,8
Fuegos de la victoria,Dominaria Unida,NM,Inglés,0.12,8
"Balmor, capitán mago de guerra",Dominaria Unida,NM,Inglés,0.2,8
Viviseccionadora pirexiana,Dominaria Unida,NM,Inglés,0.2,8
Dobleinfierno,Dominaria Unida,NM,Inglés,0.2,8
Himno de batalla de Hurloon,Dominaria Unida,NM,Inglés,0.2,8
Mano de martillo,Dominaria Unida,NM,Inglés,0.14,8
Profecía de la sombra,Dominaria Unida,NM,Inglés,0.14,8
Exploración conjunta,Dominaria Unida,NM,Inglés,0.22,8
Acólita de Shalai,Dominaria Unida,NM,Inglés,0.12,8
Regreso pavoroso de Trenzas,Dominaria Unida,NM,Inglés,0.12,8
Acechadora de Llanowar,Dominaria Unida,NM,Inglés,0.2,8
"Aron, ruina de Benalia",Dominaria Unida,NM,Inglés,0.2,8
Hacer polvo,Dominaria Unida,NM,Inglés,0.3,8
Reposesión de Urborg,Dominaria Unida,NM,Inglés,0.2,8
Puente levadizo mecánico,Dominaria Unida,NM,Inglés,0.12,8
"Raff, partidario del Vientoligero",Dominaria Unida,NM,Inglés,0.12,8
Reina Allenal de Ruadach,Dominaria Unida,NM,Inglés,0.2,8
Urza reúne a los Titanes,Dominaria Unida,NM,Inglés,0.2,8
Investigación de combate,Dominaria Unida,NM,Inglés,0.45,8
Amplificadora ghitu,Dominaria Unida,NM,Inglés,0.2,8
Misionera pirexiana,Dominaria Unida,NM,Inglés,0.2,8
Caballero de la sombra del ocaso,Dominaria Unida,NM,Inglés,0.24,8
Intromisión oportuna,Dominaria Unida,NM,Inglés,0.12,8
Desprecio de Ertai,Dominaria Unida,NM,Inglés,0.2,8
Miasma asfixiante,Dominaria Unida,NM,Inglés,0.2,8
Coletazo,Dominaria Unida,NM,Inglés,0.24,8
Micromante,Dominaria Unida,NM,Inglés,0.12,8
Inspección de Pies de Fango,Dominaria Unida,NM,Inglés,0.12,8
Maestra sabia de la Academia,Dominaria Unida,NM,Inglés,0.2,8
"Jhoira, innovadora atemporal",Dominaria Unida,NM,Inglés,0.2,8
"Stenn, partisano paranoico",Dominaria Unida,NM,Inglés,0.2,8
Muro de enredaderas florífero,Dominaria Unida,NM,Inglés,0.2,8
Negar,Dominaria Unida,NM,Inglés,0.2,8
Pantano (V.3),Dominaria Unida,NM,Inglés,0.14,8
Transformación caótica,Dominaria Unida,NM,Inglés,0.2,8
Portavoz elemental de Llanowar,Dominaria Unida,NM,Inglés,0.95,5
Dentellada,Dominaria Unida,NM,Inglés,0.2,8
Reina Allenal de Ruadach,Dominaria Unida,NM,Inglés,0.21,8
Durmiente benalita,Dominaria Unida,NM,Inglés,0.2,8
Bastión andante,Dominaria Unida,NM,Inglés,0.2,8
Proteger a los negociadores,Dominaria Unida,NM,Inglés,0.24,8
Códice de Jodah,Dominaria Unida,NM,Inglés,0.12,8
Jardinera brote lúgubre,Dominaria Unida,NM,Inglés,0.2,8
Maestra sabia de la Academia,Dominaria Unida,NM,Inglés,0.21,4
Arena de la Fortaleza,Dominaria Unida,NM,Inglés,0.2,8
"Stenn, partisano paranoico",Dominaria Unida,NM,Inglés,0.22,1
Iracundo pirexiano,Dominaria Unida,NM,Inglés,0.12,8
Afanar,Dominaria Unida,NM,Inglés,0.2,8
Iconoclasta de Yavimaya,Dominaria Unida,NM,Inglés,0.12,8
"Garna, puñosangriento de Keld",Dominaria Unida,NM,Inglés,0.2,8
Clamor furioso,Dominaria Unida,NM,Inglés,0.12,8
Dentellada,Dominaria Unida,NM,Inglés,0.21,8
Pendenciero nishoba,Dominaria Unida,NM,Inglés,0.2,8
Descarga de rayos,Dominaria Unida,NM,Inglés,0.2,8
Esfinge de los cielos despejados,Dominaria Unida,NM,Inglés,0.34,8
Gruta de cristal,Dominaria Unida,NM,Inglés,0.2,8
"Shanna, hoja purificadora",Dominaria Unida,NM,Inglés,0.45,8
Hidromante élfica,Dominaria Unida,NM,Inglés,0.12,8
"Rulik Mons, jefa del barracón",Dominaria Unida,NM,Inglés,0.12,8
Capellán alasetéreas,Dominaria Unida,NM,Inglés,0.2,8
Centinela muralla,Dominaria Unida,NM,Inglés,0.2,8
Sacerdote del rito de la sombra,Dominaria Unida,NM,Inglés,0.24,8
Cambiamareas de los Volshe,Dominaria Unida,NM,Inglés,0.14,8
Cambiamareas de los Volshe,Dominaria Unida,NM,Inglés,0.12,8
Herencia del héroe,Dominaria Unida,NM,Inglés,0.2,8
"Sol'kanar, el Corrompido",Dominaria Unida,NM,Inglés,0.28,8
Isla (V.2),Dominaria Unida,NM,Inglés,0.14,8
Llanura (V.1),Dominaria Unida,NM,Inglés,0.14,8
Profecía de la sombra,Dominaria Unida,NM,Inglés,0.35,8
Esfinge de los cielos despejados,Dominaria Unida,NM,Inglés,0.47,2
"Meria, erudita de la antigüedad",Dominaria Unida,NM,Inglés,0.2,8
Alma de Windgrace,Dominaria Unida,NM,Inglés,1.95,8
"Sol'kanar, el Corrompido",Dominaria Unida,NM,Inglés,9.95,8
"Shanna, hoja purificadora",Dominaria Unida,NM,Inglés,19.95,8
"Jodah, el Unificador",Dominaria Unida,NM,Inglés,4.95,3
Instigadora de Radha,Dominaria Unida,NM,Inglés,9.95,8
Durmiente evolucionado,Dominaria Unida,NM,Inglés,1.75,4
Arrastrar a las profundidades,Dominaria Unida,NM,Inglés,9.95,8
Cantante mental vodaliana,Dominaria Unida,NM,Inglés,9.95,8
Maestra sabia de la Academia,Dominaria Unida,NM,Inglés,9.95,8
Profanador de la fe,Dominaria Unida,NM,Inglés,1.45,4
"Karn, Living Legacy",Dominaria Unida,NM,Inglés,2.95,4
Guardiana de Nueva Benalia,Dominaria Unida,NM,Inglés,1.25,8
El cambio de fase de Zhalfir,Dominaria Unida,NM,Inglés,1.45,8
Isla (V.3),Dominaria Unida,NM,Inglés,0.12,8
Pantano (V.3),Dominaria Unida,NM,Inglés,0.12,8
Pantano (V.2),Dominaria Unida,NM,Inglés,0.12,8
Bosque (V.2),Dominaria Unida,NM,Inglés,0.12,8
Montaña (V.1),Dominaria Unida,NM,Inglés,0.12,8
Llanura (V.3),Dominaria Unida,NM,Inglés,0.12,8
Montaña (V.2),Dominaria Unida,NM,Inglés,0.2,8
Llanura (V.2),Dominaria Unida,NM,Inglés,0.2,8
Isla (V.1),Dominaria Unida,NM,Inglés,0.2,8
Montaña (V.3),Dominaria Unida,NM,Inglés,0.12,8
Pantano (V.1),Dominaria Unida,NM,Inglés,0.2,8
Amenazas no advertidas,Dominaria Unida,NM,Inglés,0.24,8
Djinn de la fuente,Dominaria Unida,NM,Inglés,0.12,8
"Rona, fiel de Sheoldred",Dominaria Unida,NM,Inglés,0.14,8
"Garna, puñosangriento de Keld",Dominaria Unida,NM,Inglés,0.21,8
"Najal, el Corredor de Tormentas",Dominaria Unida,NM,Inglés,0.12,8
Bosque (V.3),Dominaria Unida,NM,Inglés,0.24,8
Bosque (V.3),Dominaria Unida,NM,Inglés,0.14,8
Bosque (V.2),Dominaria Unida,NM,Inglés,0.24,8
Bosque (V.2),Dominaria Unida,NM,Inglés,0.14,8
Bosque (V.1),Dominaria Unida,NM,Inglés,0.24,8
Bosque (V.1),Dominaria Unida,NM,Inglés,0.14,8
Montaña (V.3),Dominaria Unida,NM,Inglés,0.24,8
Montaña (V.3),Dominaria Unida,NM,Inglés,0.14,8
Montaña (V.2),Dominaria Unida,NM,Inglés,0.24,8
Montaña (V.1),Dominaria Unida,NM,Inglés,0.24,8
Montaña (V.1),Dominaria Unida,NM,Inglés,0.14,8
Pantano (V.3),Dominaria Unida,NM,Inglés,0.24,8
Pantano (V.2),Dominaria Unida,NM,Inglés,0.24,8
Pantano (V.2),Dominaria Unida,NM,Inglés,0.14,8
Pantano (V.1),Dominaria Unida,NM,Inglés,0.24,8
Isla (V.3),Dominaria Unida,NM,Inglés,0.24,8
Isla (V.3),Dominaria Unida,NM,Inglés,0.14,8
Isla (V.2),Dominaria Unida,NM,Inglés,0.24,8
Isla (V.2),Dominaria Unida,NM,Inglés,0.12,8
Isla (V.1),Dominaria Unida,NM,Inglés,0.24,8
Isla (V.1),Dominaria Unida,NM,Inglés,0.21,8
Llanura (V.3),Dominaria Unida,NM,Inglés,0.24,8
Llanura (V.3),Dominaria Unida,NM,Inglés,0.14,8
Llanura (V.2),Dominaria Unida,NM,Inglés,0.24,8
Llanura (V.1),Dominaria Unida,NM,Inglés,0.24,8
Llanura (V.1),Dominaria Unida,NM,Inglés,0.12,8
Hacha del vencedor,Dominaria Unida,NM,Inglés,0.24,8
Autómata de maná recuperado,Dominaria Unida,NM,Inglés,0.24,8
Meteorito,Dominaria Unida,NM,Inglés,0.24,8
Códice de Jodah,Dominaria Unida,NM,Inglés,0.14,8
Bibliotecario autómata,Dominaria Unida,NM,Inglés,0.24,8
"Zar Ojanen, hija de Efrava",Dominaria Unida,NM,Inglés,0.4,8
"Vohar, profanador vodaliano",Dominaria Unida,NM,Inglés,0.3,8
"Uurg, engendro de Turg",Dominaria Unida,NM,Inglés,0.24,8
"Tura Kennerüd, caballero celeste",Dominaria Unida,NM,Inglés,0.24,8
"Tatyova, sirviente de las mareas",Dominaria Unida,NM,Inglés,0.45,8
"Rulik Mons, jefa del barracón",Dominaria Unida,NM,Inglés,0.24,8
"Rona, fiel de Sheoldred",Dominaria Unida,NM,Inglés,0.24,8
"Raff, partidario del Vientoligero",Dominaria Unida,NM,Inglés,0.24,8
"Radha, señora guerrera de la Coalición",Dominaria Unida,NM,Inglés,0.5,8
"Najal, el Corredor de Tormentas",Dominaria Unida,NM,Inglés,0.24,8
"Nael, aeronauta de avizoas",Dominaria Unida,NM,Inglés,0.24,8
Bortuk Sonahuesos,Dominaria Unida,NM,Inglés,0.24,8
"Balmor, capitán mago de guerra",Dominaria Unida,NM,Inglés,0.21,5
Transeúnte de Yavimaya,Dominaria Unida,NM,Inglés,0.24,8
Prodigio moldeaenredaderas,Dominaria Unida,NM,Inglés,0.24,8
Maro territorial,Dominaria Unida,NM,Inglés,0.24,8
Raizguana al sol,Dominaria Unida,NM,Inglés,0.14,8
Fuerza de la Coalición,Dominaria Unida,NM,Inglés,0.24,8
Tejetrampas,Dominaria Unida,NM,Inglés,0.24,8
Inspección de Pies de Fango,Dominaria Unida,NM,Inglés,0.24,8
Explorar lo salvaje,Dominaria Unida,NM,Inglés,0.24,8
Ancestro barbamusgosa,Dominaria Unida,NM,Inglés,0.24,8
Centinela mágnigoth,Dominaria Unida,NM,Inglés,0.24,8
Acechadora de Llanowar,Dominaria Unida,NM,Inglés,0.24,8
Báloth rompelíneas,Dominaria Unida,NM,Inglés,0.24,8
Tortuga suprimemaleficios,Dominaria Unida,NM,Inglés,0.24,8
Poderío de Gaia,Dominaria Unida,NM,Inglés,0.35,8
Muro de enredaderas florífero,Dominaria Unida,NM,Inglés,0.24,8
Hidromante élfica,Dominaria Unida,NM,Inglés,0.5,8
Sierpe del elfhogar,Dominaria Unida,NM,Inglés,0.24,8
Jardinera brote lúgubre,Dominaria Unida,NM,Inglés,0.24,8
Crecimiento colosal,Dominaria Unida,NM,Inglés,0.24,8
Alas rotas,Dominaria Unida,NM,Inglés,0.24,8
Tejón del cenagal,Dominaria Unida,NM,Inglés,0.24,8
Aplastador cortezatejida,Dominaria Unida,NM,Inglés,0.24,8
Yotia declara la guerra,Dominaria Unida,NM,Inglés,0.5,8
Trituracero de Yavimaya,Dominaria Unida,NM,Inglés,0.24,8
Frenesí de la hueste,Dominaria Unida,NM,Inglés,0.35,8
Surcarramas viashino,Dominaria Unida,NM,Inglés,0.24,8
Entusiasmo ante la posibilidad,Dominaria Unida,NM,Inglés,0.21,8
Trasgo germinante,Dominaria Unida,NM,Inglés,0.14,8
Monstruosidad fundida,Dominaria Unida,NM,Inglés,0.24,8
Batidora de Meria,Dominaria Unida,NM,Inglés,0.24,8
Equipo de ataque keldon,Dominaria Unida,NM,Inglés,0.24,8
Pirotorbellino de Jaya,Dominaria Unida,NM,Inglés,0.24,8
Servir al Abismo,Dominaria Unida,NM,Inglés,0.24,8
Cíclope lanzador,Dominaria Unida,NM,Inglés,0.24,8
Mano de martillo,Dominaria Unida,NM,Inglés,0.24,8
Trasgo recolector,Dominaria Unida,NM,Inglés,0.24,8
Amplificadora ghitu,Dominaria Unida,NM,Inglés,0.24,8
Clamor furioso,Dominaria Unida,NM,Inglés,0.24,8
Kavu de piedra variable,Dominaria Unida,NM,Inglés,0.24,8
Fuegos de la victoria,Dominaria Unida,NM,Inglés,0.14,8
Cría de dragón,Dominaria Unida,NM,Inglés,0.24,8
Bestia de guerra de la Coalición,Dominaria Unida,NM,Inglés,0.24,8
Berserker balduviano,Dominaria Unida,NM,Inglés,0.24,8
Reposesión de Urborg,Dominaria Unida,NM,Inglés,0.22,8
Tributo a Urborg,Dominaria Unida,NM,Inglés,0.24,8
Abominación tóxica,Dominaria Unida,NM,Inglés,0.24,8
Fantasma andrajoso,Dominaria Unida,NM,Inglés,0.24,8
Trasgo salpicador,Dominaria Unida,NM,Inglés,0.24,8
Experta de Sengir,Dominaria Unida,NM,Inglés,0.24,8
Viviseccionadora pirexiana,Dominaria Unida,NM,Inglés,0.24,8
Iracundo pirexiano,Dominaria Unida,NM,Inglés,0.24,8
Sanguijuela de guerra monstruosa,Dominaria Unida,NM,Inglés,0.24,8
Barricada quejumbrosa,Dominaria Unida,NM,Inglés,0.24,8
Extinguir la luz,Dominaria Unida,NM,Inglés,0.24,8
Cuidador de almas espeluznante,Dominaria Unida,NM,Inglés,0.24,8
Astillas óseas,Dominaria Unida,NM,Inglés,0.24,8
Contenedor de la plaga,Dominaria Unida,NM,Inglés,0.3,8
Enjambre de moscas de combate,Dominaria Unida,NM,Inglés,0.24,8
Bendición de la furia de batalla,Dominaria Unida,NM,Inglés,0.24,8
Sabotaje agresivo,Dominaria Unida,NM,Inglés,0.24,8
Cambiamareas de los Volshe,Dominaria Unida,NM,Inglés,0.24,8
Saqueador del mar de Voda,Dominaria Unida,NM,Inglés,0.24,8
Géiser tolariano,Dominaria Unida,NM,Inglés,0.24,8
Intromisión oportuna,Dominaria Unida,NM,Inglés,0.24,8
Tortuga poza de marea,Dominaria Unida,NM,Inglés,0.24,8
Vigía talas,Dominaria Unida,NM,Inglés,0.24,8
Draco planeador,Dominaria Unida,NM,Inglés,0.24,8
Pixie ilusionista,Dominaria Unida,NM,Inglés,0.24,8
Espionaje pirexiano,Dominaria Unida,NM,Inglés,0.24,8
Micromante,Dominaria Unida,NM,Inglés,0.14,8
Detener el ímpetu,Dominaria Unida,NM,Inglés,0.35,8
Imaginario inquietante,Dominaria Unida,NM,Inglés,0.24,8
Montaraz puño escarchado,Dominaria Unida,NM,Inglés,0.24,8
Djinn de la fuente,Dominaria Unida,NM,Inglés,0.3,8
Colonia de coral,Dominaria Unida,NM,Inglés,0.4,8
Místico ala de guerra,Dominaria Unida,NM,Inglés,0.4,8
Muro de la Academia,Dominaria Unida,NM,Inglés,0.24,8
Ganar tiempo,Dominaria Unida,NM,Inglés,0.24,8
Acólita de Shalai,Dominaria Unida,NM,Inglés,0.24,8
Herborista samita,Dominaria Unida,NM,Inglés,0.24,8
Plegaria vinculante,Dominaria Unida,NM,Inglés,0.24,8
Caballero de la meseta,Dominaria Unida,NM,Inglés,0.24,8
Canción de amor de la noche y el día,Dominaria Unida,NM,Inglés,0.34,8
Caballero de la luz del alba,Dominaria Unida,NM,Inglés,0.4,8
Fuerzas unidas,Dominaria Unida,NM,Inglés,0.35,8
Carga heroica,Dominaria Unida,NM,Inglés,0.24,8
Grifo protector,Dominaria Unida,NM,Inglés,0.24,8
Caballero celeste de la Coalición,Dominaria Unida,NM,Inglés,0.35,8
Puente levadizo mecánico,Dominaria Unida,NM,Inglés,0.24,8
Jinete celeste carnicero,Dominaria Unida,NM,Inglés,0.45,8
Arresto del ciudadano,Dominaria Unida,NM,Inglés,0.24,8
Llamada del capitán,Dominaria Unida,NM,Inglés,0.24,8
Vinculador de fe benalita,Dominaria Unida,NM,Inglés,0.24,8
Descarga de artillería,Dominaria Unida,NM,Inglés,0.24,8
Falange argiviana,Dominaria Unida,NM,Inglés,0.24,8
Caballero argiviana,Dominaria Unida,NM,Inglés,0.24,8
Arena de la Fortaleza,Dominaria Unida,NM,Inglés,0.22,8
Impulso,Dominaria Unida,NM,Inglés,0.35,8
Entusiasmo ante la posibilidad,Dominaria Unida,NM,Inglés,0.2,8
Arrastrar a las profundidades,Dominaria Unida,NM,Inglés,0.22,4
Instigadora de Radha,Dominaria Unida,NM,Inglés,0.2,8
Bastión andante,Dominaria Unida,NM,Inglés,0.22,8
Hacha del vencedor,Dominaria Unida,NM,Inglés,0.14,8
Meteorito,Dominaria Unida,NM,Inglés,0.14,8
Códice de Jodah,Dominaria Unida,NM,Inglés,0.3,8
Herencia del héroe,Dominaria Unida,NM,Inglés,0.21,8
Bibliotecario autómata,Dominaria Unida,NM,Inglés,0.14,8
"Zar Ojanen, hija de Efrava",Dominaria Unida,NM,Inglés,0.22,8
"Vohar, profanador vodaliano",Dominaria Unida,NM,Inglés,0.22,8
"Uurg, engendro de Turg",Dominaria Unida,NM,Inglés,0.14,8
