name,edition,condition,language,price_eur,quantity
Cumbres sagradas,Dominaria Unida,EX,Inglés,0.2,8
"Jhoira, innovadora atemporal",Dominaria Unida,NM,Inglés,0.75,8
Dentellada,Dominaria Unida,EX,Inglés,0.2,8
Portavoz elemental de Llanowar,Dominaria Unida,NM,Inglés,0.99,8
Dobleinfierno,Dominaria Unida,EX,Inglés,0.25,8
Cambiamareas de los Volshe,Dominaria Unida,EX,Inglés,0.2,1
Sacerdote del rito de la sombra,Dominaria Unida,NM,Inglés,0.45,8
"Meria, erudita de la antigüedad",Dominaria Unida,NM,Inglés,0.2,8
Vientoligero perfeccionado,Dominaria Unida,NM,Inglés,2.5,1
Sabia de las llamas keldon,Dominaria Unida,NM,Inglés,0.3,2
Profanador del vigor,Dominaria Unida,NM,Inglés,2.95,5
El cambio de fase de Zhalfir,Dominaria Unida,NM,Inglés,0.95,1
Profanadora de sueños,Dominaria Unida,NM,Inglés,0.81,4
Portavoz elemental de Llanowar,Dominaria Unida,NM,Inglés,0.71,3
Alma de Windgrace,Dominaria Unida,NM,Japonés,0.86,8
"Shanna, hoja purificadora",Dominaria Unida,NM,Español,0.71,4
Bosque (V.3),Dominaria Unida,EX,Inglés,0.2,8
Bosque (V.2),Dominaria Unida,EX,Inglés,0.2,8
Bosque (V.1),Dominaria Unida,EX,Inglés,0.2,8
Montaña (V.3),Dominaria Unida,EX,Inglés,0.2,8
Montaña (V.3),Dominaria Unida,EX,Inglés,0.2,8
Montaña (V.1),Dominaria Unida,EX,Inglés,0.2,8
Pantano (V.3),Dominaria Unida,EX,Inglés,0.2,8
Pantano (V.1),Dominaria Unida,EX,Inglés,0.2,7
Isla (V.2),Dominaria Unida,EX,Inglés,0.2,8
Pantano (V.2),Dominaria Unida,EX,Inglés,0.2,8
Isla (V.3),Dominaria Unida,EX,Inglés,0.2,8
Isla (V.1),Dominaria Unida,EX,Inglés,0.2,8
Llanura (V.3),Dominaria Unida,EX,Inglés,0.2,8
