name,edition,condition,language,price_eur,quantity,seller,total_value,id_carta
Bendición de la furia de batalla,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,138
Bosque (V.1),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,151
Bosque (V.3),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,153
"Radha, señora guerrera de la Coalición",Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,871
Trasgo germinante,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,1052
Trituracero de Yavimaya,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,3144
Litoral idílico,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,670
Ciénaga geotérmica,Dominaria Unida,NM,Inglés,0.3,8,Mazvigosl,2.4,238
Arboleda radiante,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2403
Marjal iluminado,Dominaria Unida,NM,Inglés,0.35,8,Mazvigosl,2.8,1461
Cumbres sagradas,Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl,1.76,2335
"Lagomos, mano del odio",Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,648
Fundación del Tercer Camino,Dominaria Unida,NM,Inglés,1.45,8,Mazvigosl,11.6,483
Infantería electrostática,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,563
"Aron, ruina de Benalia",Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl,1.76,2542
Fuegos de la victoria,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,1705
"Balmor, capitán mago de guerra",Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,2783
Viviseccionadora pirexiana,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,2900
Dobleinfierno,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,356
Himno de batalla de Hurloon,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,540
Mano de martillo,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,703
Profecía de la sombra,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,2892
Exploración conjunta,Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl,1.76,2451
Acólita de Shalai,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,2139
Regreso pavoroso de Trenzas,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,903
Acechadora de Llanowar,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,11
"Aron, ruina de Benalia",Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,2542
Hacer polvo,Dominaria Unida,NM,Inglés,0.3,8,Mazvigosl,2.4,522
Reposesión de Urborg,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,912
Puente levadizo mecánico,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,2438
"Raff, partidario del Vientoligero",Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,872
Reina Allenal de Ruadach,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,904
Urza reúne a los Titanes,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,1070
Investigación de combate,Dominaria Unida,NM,Inglés,0.45,8,Mazvigosl,3.6,594
Amplificadora ghitu,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,1495
Misionera pirexiana,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,1991
Caballero de la sombra del ocaso,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,172
Intromisión oportuna,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,2089
Desprecio de Ertai,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,335
Miasma asfixiante,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,721
Coletazo,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,243
Micromante,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,723
Inspección de Pies de Fango,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,569
Maestra sabia de la Academia,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,3011
"Jhoira, innovadora atemporal",Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,613
"Stenn, partisano paranoico",Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,1466
Muro de enredaderas florífero,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,747
Negar,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,765
Pantano (V.3),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,805
Transformación caótica,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,1051
Portavoz elemental de Llanowar,Dominaria Unida,NM,Inglés,0.95,5,Mazvigosl,4.75,838
Dentellada,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,314
Reina Allenal de Ruadach,Dominaria Unida,NM,Inglés,0.21,8,Mazvigosl,1.68,904
Durmiente benalita,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,373
Bastión andante,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,3155
Proteger a los negociadores,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,2352
Códice de Jodah,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,300
Jardinera brote lúgubre,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,2228
Maestra sabia de la Academia,Dominaria Unida,NM,Inglés,0.21,4,Mazvigosl,0.84,3011
Arena de la Fortaleza,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,80
"Stenn, partisano paranoico",Dominaria Unida,NM,Inglés,0.22,1,Mazvigosl,0.22,1466
Iracundo pirexiano,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,602
Afanar,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,23
Iconoclasta de Yavimaya,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,555
"Garna, puñosangriento de Keld",Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,496
Clamor furioso,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,1997
Dentellada,Dominaria Unida,NM,Inglés,0.21,8,Mazvigosl,1.68,314
Pendenciero nishoba,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,1352
Descarga de rayos,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,322
Esfinge de los cielos despejados,Dominaria Unida,NM,Inglés,0.34,8,Mazvigosl,2.72,419
Gruta de cristal,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,510
"Shanna, hoja purificadora",Dominaria Unida,NM,Inglés,0.45,8,Mazvigosl,3.6,982
Hidromante élfica,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,2751
"Rulik Mons, jefa del barracón",Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,941
Capellán alasetéreas,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,197
Centinela muralla,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,1251
Sacerdote del rito de la sombra,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl,1.92,956
Cambiamareas de los Volshe,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,2175
Cambiamareas de los Volshe,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl,0.96,2175
Herencia del héroe,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,1683
"Sol'kanar, el Corrompido",Dominaria Unida,NM,Inglés,0.28,8,Mazvigosl,2.24,2432
Isla (V.2),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,604
Llanura (V.1),Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl,1.12,676
Profecía de la sombra,Dominaria Unida,NM,Inglés,0.35,8,Mazvigosl,2.8,2892
Esfinge de los cielos despejados,Dominaria Unida,NM,Inglés,0.47,2,Mazvigosl,0.94,419
"Meria, erudita de la antigüedad",Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl,1.6,715
Alma de Windgrace,Dominaria Unida,NM,Inglés,1.95,8,Mazvigosl,15.6,1141
"Sol'kanar, el Corrompido",Dominaria Unida,NM,Inglés,9.95,8,Mazvigosl,79.6,2432
"Shanna, hoja purificadora",Dominaria Unida,NM,Inglés,19.95,8,Mazvigosl,159.6,982
"Jodah, el Unificador",Dominaria Unida,NM,Inglés,4.95,3,Mazvigosl,14.85,2730
Instigadora de Radha,Dominaria Unida,NM,Inglés,9.95,8,Mazvigosl,79.6,571
Durmiente evolucionado,Dominaria Unida,NM,Inglés,1.75,4,Mazvigosl,7.0,374
Arrastrar a las profundidades,Dominaria Unida,NM,Inglés,9.95,8,Mazvigosl,79.6,91
