name,edition,condition,language,price_eur,quantity,seller
Bendición de la furia de batalla,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Bosque (V.1),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Bosque (V.3),Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
"Radha, señora guerrera de la Coalición",Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Trasgo germinante,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Trituracero de Yavimaya,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Litoral idílico,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Ciénaga geotérmica,Dominaria Unida,NM,Inglés,0.3,8,Mazvigosl
Arboleda radiante,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Marjal iluminado,Dominaria Unida,NM,Inglés,0.35,8,Mazvigosl
Cumbres sagradas,Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl
"Lagomos, mano del odio",Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Fundación del Tercer Camino,Dominaria Unida,NM,Inglés,1.45,8,Mazvigosl
Infantería electrostática,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
"Aron, ruina de Benalia",Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl
Fuegos de la victoria,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
"Balmor, capitán mago de guerra",Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Viviseccionadora pirexiana,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Dobleinfierno,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Himno de batalla de Hurloon,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Mano de martillo,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Profecía de la sombra,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Exploración conjunta,Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl
Acólita de Shalai,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Regreso pavoroso de Trenzas,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Acechadora de Llanowar,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
"Aron, ruina de Benalia",Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Hacer polvo,Dominaria Unida,NM,Inglés,0.3,8,Mazvigosl
Reposesión de Urborg,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Puente levadizo mecánico,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
"Raff, partidario del Vientoligero",Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Reina Allenal de Ruadach,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Urza reúne a los Titanes,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Investigación de combate,Dominaria Unida,NM,Inglés,0.45,8,Mazvigosl
Amplificadora ghitu,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Misionera pirexiana,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Caballero de la sombra del ocaso,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Intromisión oportuna,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Desprecio de Ertai,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Miasma asfixiante,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Coletazo,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Micromante,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Inspección de Pies de Fango,Dominaria Unida,NM,Inglés,0.12,8,Mazvigosl
Maestra sabia de la Academia,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
"Jhoira, innovadora atemporal",Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
"Stenn, partisano paranoico",Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Muro de enredaderas florífero,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
Negar,Dominaria Unida,NM,Inglés,0.2,8,Mazvigosl
