name,edition,condition,language,price_eur,quantity,total_value,id_carta
Acechadora de Llanowar,Dominaria Unida,NM,Español,0.05,2,0.1,11
Acuífero contaminado,Dominaria Unida,NM,Español,0.9,1,0.9,20
Afanar,Dominaria Unida,NM,Español,0.1,2,0.2,23
Afluente fundido,Dominaria Unida,NM,Español,0.25,4,1.0,24
Alas rotas,Dominaria Unida,NM,Español,0.05,3,0.15,36
Ancestro barbamusgosa,Dominaria Unida,NM,Español,0.05,2,0.1,53
Arena de la Fortaleza,Dominaria Unida,NM,Español,0.2,2,0.4,80
Arrastrar a las profundidades,Dominaria Unida,NM,Español,0.2,1,0.2,91
Arrastrar a las profundidades,Dominaria Unida,NM,Inglés,0.2,1,0.2,91
"Astor, portador de hojas",Dominaria Unida,NM,Inglés,0.3,2,0.6,110
Barricada quejumbrosa,Dominaria Unida,NM,Español,0.05,1,0.05,130
Bendición de la furia de batalla,Dominaria Unida,NM,Español,0.1,1,0.1,138
Bortuk Sonahuesos,Dominaria Unida,NM,Español,0.05,1,0.05,149
Bosque (V.4),Dominaria Unida,NM,Español,1.0,1,1.0,154
Caballero de la sombra del ocaso,Dominaria Unida,NM,Español,0.2,4,0.8,172
Canalizador de éter,Dominaria Unida,NM,Español,0.4,4,1.6,188
Capellán alasetéreas,Dominaria Unida,NM,Español,0.2,2,0.4,197
Cenagal embrujado,Dominaria Unida,NM,Español,0.4,1,0.4,226
Ciénaga geotérmica,Dominaria Unida,NM,Español,0.2,4,0.8,238
Ciénaga geotérmica,Dominaria Unida,NM,Español,0.4,1,0.4,238
Coletazo,Dominaria Unida,NM,Español,0.2,1,0.2,243
Colonia de coral,Dominaria Unida,NM,Español,0.05,1,0.05,245
Contenedor de la plaga,Dominaria Unida,NM,Español,0.05,1,0.05,261
Cresta boscosa,Dominaria Unida,NM,Español,0.2,1,0.2,280
Cría de dragón,Dominaria Unida,NM,Español,0.05,1,0.05,284
Cría de dragón,Dominaria Unida,NM,Inglés,0.03,1,0.03,284
Cíclope lanzador,Dominaria Unida,NM,Español,0.05,1,0.05,299
Códice de Jodah,Dominaria Unida,NM,Español,0.13,2,0.26,300
Códice de Jodah,Dominaria Unida,NM,Español,0.2,1,0.2,300
Descarga de rayos,Dominaria Unida,NM,Español,0.2,2,0.4,322
Descarga de rayos,Dominaria Unida,NM,Español,0.14,4,0.56,322
Desprecio de Ertai,Dominaria Unida,NM,Español,0.1,4,0.4,335
Devastadora shivana,Dominaria Unida,NM,Español,3.0,1,3.0,343
Dobleinfierno,Dominaria Unida,NM,Español,0.2,1,0.2,356
