name,edition,condition,language,price_eur,quantity
Acechadora de Llanowar,Dominaria Unida,NM,Español,0.05,2
Acuífero contaminado,Dominaria Unida,NM,Español,0.9,1
Afanar,Dominaria Unida,NM,Español,0.1,2
Afluente fundido,Dominaria Unida,NM,Español,0.25,4
Alas rotas,Dominaria Unida,NM,Español,0.05,3
Ancestro barbamusgosa,Dominaria Unida,NM,Español,0.05,2
Arena de la Fortaleza,Dominaria Unida,NM,Español,0.2,2
Arrastrar a las profundidades,Dominaria Unida,NM,Español,0.2,1
Arrastrar a las profundidades,Dominaria Unida,NM,Inglés,0.2,1
"Astor, portador de hojas",Dominaria Unida,NM,Inglés,0.3,2
Barricada quejumbrosa,Dominaria Unida,NM,Español,0.05,1
Bendición de la furia de batalla,Dominaria Unida,NM,Español,0.1,1
Bortuk Sonahuesos,Dominaria Unida,NM,Español,0.05,1
Bosque (V.4),Dominaria Unida,NM,Español,1.0,1
Caballero de la sombra del ocaso,Dominaria Unida,NM,Español,0.2,4
Canalizador de éter,Dominaria Unida,NM,Español,0.4,4
Capellán alasetéreas,Dominaria Unida,NM,Español,0.2,2
Cenagal embrujado,Dominaria Unida,NM,Español,0.4,1
Ciénaga geotérmica,Dominaria Unida,NM,Español,0.2,4
Ciénaga geotérmica,Dominaria Unida,NM,Español,0.4,1
Coletazo,Dominaria Unida,NM,Español,0.2,1
Colonia de coral,Dominaria Unida,NM,Español,0.05,1
Contenedor de la plaga,Dominaria Unida,NM,Español,0.05,1
Cresta boscosa,Dominaria Unida,NM,Español,0.2,1
Cría de dragón,Dominaria Unida,NM,Español,0.05,1
Cría de dragón,Dominaria Unida,NM,Inglés,0.03,1
Cíclope lanzador,Dominaria Unida,NM,Español,0.05,1
Códice de Jodah,Dominaria Unida,NM,Español,0.13,2
Códice de Jodah,Dominaria Unida,NM,Español,0.2,1
Descarga de rayos,Dominaria Unida,NM,Español,0.2,2
Descarga de rayos,Dominaria Unida,NM,Español,0.14,4
Desprecio de Ertai,Dominaria Unida,NM,Español,0.1,4
Devastadora shivana,Dominaria Unida,NM,Español,3.0,1
Dobleinfierno,Dominaria Unida,NM,Español,0.2,1
Durmiente benalita,Dominaria Unida,NM,Español,0.1,2
Durmiente evolucionado,Dominaria Unida,NM,Español,0.4,1
Durmiente evolucionado,Dominaria Unida,NM,Inglés,0.4,1
Ejemplar de Serra,Dominaria Unida,NM,Inglés,4.5,1
El tratado de Semillaclima,Dominaria Unida,NM,Inglés,0.2,1
Entusiasmo ante la posibilidad,Dominaria Unida,NM,Español,0.05,1
Escrutinio de plata,Dominaria Unida,NM,Español,0.5,1
Esfinge de los cielos despejados,Dominaria Unida,NM,Español,0.24,1
Esparcir la esencia,Dominaria Unida,NM,Español,0.05,2
Experta de Sengir,Dominaria Unida,NM,Español,0.05,2
Explorar lo salvaje,Dominaria Unida,NM,Español,0.05,1
Fuerza de la Coalición,Dominaria Unida,NM,Español,0.05,1
Fundación del Tercer Camino,Dominaria Unida,NM,Español,0.3,4
"Garna, puñosangriento de Keld",Dominaria Unida,NM,Español,0.15,1
Gruta de cristal,Dominaria Unida,NM,Español,0.11,2
Guardiana de Nueva Benalia,Dominaria Unida,NM,Español,0.22,1
Hacer polvo,Dominaria Unida,NM,Español,0.2,4
Hacer polvo,Dominaria Unida,NM,Inglés,0.2,1
Himno de batalla de Hurloon,Dominaria Unida,NM,Español,0.1,1
Iconoclasta de Yavimaya,Dominaria Unida,NM,Español,0.1,1
Impulso,Dominaria Unida,NM,Español,0.1,5
Infantería electrostática,Dominaria Unida,NM,Español,0.2,1
Inspección de Pies de Fango,Dominaria Unida,NM,Español,0.08,3
Instigadora de Radha,Dominaria Unida,NM,Español,0.12,1
