name,edition,condition,language,price_eur,quantity
Pastizal de saltanejos,Crepúsculo,NM,Español,0.8,1
Capitana Lannery Tempestad,Ixalan,NM,Inglés,0.4,1
Embestida acorazada,Pirexia: Todos serán uno,NM,Español,0.1,1
La caída de Kroog,La Guerra de los Hermanos,NM,Español,0.04,1
Estallido en la excavación,La Guerra de los Hermanos,NM,Español,0.04,1
Evangelista de síntesis,La Guerra de los Hermanos,NM,Español,0.1,1
Niebla de guerra,La Guerra de los Hermanos,NM,Español,0.1,1
Fatalidad inminente,Jumpstart 2022,NM,Español,0.1,1
Psicópata trasgo,Jumpstart 2022,NM,Español,0.14,1
Conmoción posterior,Jumpstart 2022,NM,Español,0.15,1
Monumento al ingenio,Jumpstart 2022,NM,Español,0.14,1
Gigante voraz,Jumpstart 2022,NM,Español,0.1,1
Artillería trasga,Jumpstart 2022,NM,Español,0.14,1
Fanática de porcelana,Pirexia: Todos serán uno,NM,Español,0.06,1
Inmovilizador de Tamiyo,Pirexia: Todos serán uno,NM,Español,0.08,1
Resistencia reunida,Pirexia: Todos serán uno,NM,Español,0.1,1
Bailarín de tendones (V.1),Pirexia: Todos serán uno: Extras,NM,Español,0.04,1
Evangelista de la vivisección,Pirexia: Todos serán uno,NM,Español,0.06,1
Familiar Escapanoche,Transmigración,GD,Español,0.4,1
Hacia la noche,Innistrad: Compromiso escarlata,NM,Español,0.06,1
